1	0,38	0,29	0,21	0,24	0	0	0	0	0	0	1	-0,4	0,1	0,36	0,1	1	0	0	1	0	0	0	72	72,33333333	78,6	71,7	69	69	72	72	128	63	63
1	1,79	2,37	2,35	3,25	2,7	3,4	2,99	1,27	0,79	2,9	2,13	-0,2	-0,1	0,1	0	0	0,1	0	0,3	0,2	0	0	58	56	56	54	57	55	57	59	112	54	56
1	0,79	1,03	1,09	1,29	1,69	1,52	1,88	1,29	0,84	2,05	1,59	1,01	-0,1	-0,95	0,2	-0,2	-0,4	0,1	0,8	-0,2	-0,1	0,6	84,375	80,33333333	81,16666667	75,76666667	78	74	71	76	121	68	68
1	1,6	1,71	2,14	2,9	4,39	4,34	3,85	3,72	1,57	3,25	2,28	0,86	-0,16	-1,27	0,1	-0,1	-0,1	0,1	1	1,5	-0,2	1,1	89,25	86,65	87,83333333	85,475	89	86	86	88	128	85	85
1	1,9	2	2,03	1,88	2,39	2,15	2,29	1,81	0,78	2,06	1,91	0,8	-0,47	-0,2	-0,2	0	0	0	0,4	0,4	0,1	0,1	61	61,5	57	62	57	58	59	62	119	62	56
1	1,69	1,87	1,92	2,34	2,17	1,93	1,48	1,59	0,79	1,5	1,47	0,76	-0,09	-0,07	0	-0,6	-0,2	0,1	0,2	-0,3	0	-1,5	72,2	73	68,66666667	66,5	67	66	66	68	123	66	81
1	2,02	2,66	1,79	2,5	3,91	2,8	3,08	1,89	0,77	2,05	1,96	1	-0,35	1,2	-0,1	-0,2	0,2	-0,9	3,9	-0,1	0,1	0,4	55	68	58	60,5	54	53	52	62	58	51	51
1	1,01	1,72	1,68	2,01	2,32	2,3	2,75	1,7	1,49	2,45	2,31	-0,31	0,15	-0,02	0	-0,7	-0,6	0,2	3,3	-0,2	0	2	102,125	96,35	95,83333333	93,925	94	94	91	90	131	89	90
1	1,25	1,48	1,24	2,06	2,15	2,23	2,94	2,17	1,35	1,87	1,23	1,43	-0,97	2,85	-0,3	1,8	-0,5	0	2,7	0,2	-0,1	1	80,16666667	68,625	71	66,27272727	69	66	68	68	66	67	64
1	1,19	1,73	1,45	3,04	2,15	1,7	0,6	0,86	0,62	2,62	3,87	-0,25	-0,18	0,12	0	0,6	-0,1	0,1	2,3	0	-0,1	0,7	84,25	80,11111111	79	74,96428571	76	74	80	76	124	78	77
1	2,47	3,33	3,25	3,66	2,82	3,33	3,57	2,81	0,91	2,92	2,48	-0,1	0	0,9	-0,1	2,1	-0,6	0,1	1,3	0,4	0	0,3	55	57	58	55	55	54	56	57	121	57	54
1	4,22	4,51	4,05	4,68	4,29	3,91	3,64	2,08	0,88	3,27	3,36	-0,9	0,2	-0,1	0	0,2	0	0	1,8	1,2	-0,2	2,5	72	69	74	68	69	67	68	72	109	70	78
1	0,93	1,41	1,54	2,02	2,22	2,16	1,9	1,37	0,64	1,6	1,59	0,1	-0,05	0,7	0	-0,2	0,1	-0,1	0,2	0	0	-0,2	58	66	57	59	63	57	60	58	86	60	63
1	1,18	1,43	1,47	1,68	1,18	1,44	1,73	1,32	0,84	1,28	1,39	1,62	-0,65	0,08	0,1	-1,4	0,4	0	2,4	0,3	0,1	0	74	77,5	76,4	76,64516129	81	77	75	76	78	78	79
1	1,83	2,17	2,38	2,19	2,28	2,36	1,09	0,88	0,86	2,27	2,49	-0,1	-0,21	0,55	0,1	0,1	-0,1	1,8	4,8	-1,3	0,4	0	77,57142857	73,71428571	75,75	73,92592593	75	72	78	76	116	73	74
